会社名;代表者;HP;電話番号;住所;会社メール;その他連絡方法;営業担当名;初回コンタクト日;属性;確度;状況;備考;掲載サイト;2回目以降最新コンタクト日
株式会社アクシスウェア;;https://www.axisware.co.jp/company/chart.html;03-6262-2801;〒108-0075 東京都港区港南１－８－１５ Ｗビル５階;;;経岩宗高;2023/04/12;Sier・コンサル;E：未接触;未契約;;;
Sky株式会社;;https://www.skygroup.jp/inquiry/partnership/;03-5796-2770;〒108-0075 東京都港区港南2丁目18番1号 JR品川イーストビル 9階;;https://www.skygroup.jp/inquiry/;経岩宗高;2023/04/12;開発（プロダクト）;E：未接触;未契約;;;
日本ソフトウェア株式会社;矢島博;https://www.nsk-japan.co.jp/partners/;03-5833-7631;〒101-0032 東京都千代田区岩本町1-10-3;;https://www.nsk-japan.co.jp/contact/;経岩宗高;2023/04/12;Sier・コンサル;E：未接触;未契約;;協業募集;
アビームコンサルティング;;https://www.abeam.com/jp/ja;;〒104-0028 東京都中央区八重洲二丁目2番1号 東京ミッドタウン八重洲 八重洲セントラルタワー;;https://www.abeam.com/jp/ja/contact_jp;経岩宗高;;Sier・コンサル;C：サスペクト;未契約;担当者に依頼;;
日本コムシンク株式会社;山里 真元;https://www.comthink.co.jp/partner/;06-6448-8660;〒550-0002 大阪市西区江戸堀1-2-11 大同生命肥後橋ビル南館12F;eigyo@comthink.co.jp;https://www.comthink.co.jp/contact/;経岩宗高;2023/04/12;Sier・コンサル;E：未接触;未契約;;協業募集;2024/04/03
エービーシー・ジャパン;竹内 一浩;https://www.abc-japan.co.jp/partner/;052-220-7005;〒460-0002 名古屋市中区丸の内一丁目4番12号　AREXビル4F;webadmin@abc-japan.co.jp;https://www.abc-japan.co.jp/contact/;経岩宗高;2023/04/12;開発;E：未接触;未契約;;協業募集;2024/04/03
GSC;大炊御門公尋;http://g-s-c.co.jp/partner/index.html;03-5957-1351;〒171-0021 東京都豊島区西池袋2-29-19　KTビル8F;;https://g-s-c.co.jp/contact/index.html;経岩宗高;2023/04/12;開発;E：未接触;未契約;;協業募集;2024/04/03
株式会社ウイズ・ソフトウェア;篠木　聡;https://www.wizsoft.co.jp/partner/;06-6353-0331;〒530-0044 大阪市北区東天満1-11-19デュプロビル;;https://www.wizsoft.co.jp/contact/;経岩宗高;2023/04/12;開発;E：未接触;未契約;;協業募集;2024/04/03
NID;;https://www.nid.co.jp/partner/;03-6221-6822;〒104-6029 東京都中央区晴海1-8-10 晴海アイランドトリトンスクエアX棟29階;;https://www.nid.co.jp/partner/;経岩宗高;;開発;E：未接触;未契約;https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzGsmDkVBnBZZzKPxXCvBQZVgNfh;;
ADFORCE;大間弘道;https://www.adforce.co.jp/company/index.html#company;0294-27-7815;〒317-0073 茨城県日立市幸町1-5-12;;https://www.adforce.co.jp/contact/index.html;経岩宗高;2023/04/12;開発（プロダクト）;E：未接触;未契約;;協業募集;2024/04/03
DreamArts;山本 孝昭;https://www.dreamarts.co.jp/form/da-inq-thanks/;;東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー29Ｆ;marketing@dreamarts.co.jp;https://www.dreamarts.co.jp/form/inquiry/;経岩宗高;2023/04/12;開発（プロダクト）;E：未接触;未契約;;協業募集;2024/04/08
株式会社アルファシステムズ;石川 有子;https://www.alpha.co.jp/corp/about/;044-733-4111;〒211-0053 川崎市中原区上小田中6丁目6番1号;;https://www.alpha.co.jp/inquiry/;経岩宗高;2023/04/13;開発（プロダクト）;E：未接触;未契約;協業募集;;2024/04/15
株式会社ソフトウェア・カラーズ・ファクトリー;小池　俊之;https://www.sw-colors.com/partner.html;03-3956-6400;東京都豊島区高松2-12-9;info@sw-colors.com;https://www.sw-colors.com/ask.html;経岩宗高;2023/04/13;開発;E：未接触;未契約;;協業募集;2024/04/15
VERISERVE;新堀 義之;https://www.veriserve.co.jp/partner/;;〒101-0061 東京都千代田区神田三崎町3-1-16 神保町北東急ビル9階;;https://www.veriserve.co.jp/contact/;経岩宗高;2023/04/13;開発（プロダクト）;E：未接触;未契約;;協業募集;2024/04/16
NSC;;https://www.nationalsoftware.co.jp/partner/;03-6808-9821;〒113-0021 東京都文京区本駒込5丁目4番7号 駒込スパンクリートビル;;https://www.nationalsoftware.co.jp/contact/;経岩宗高;;開発;E：未接触;未契約;https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzGsmDlfWBkzwZzwjkPGjqvwgZMV;;
GALAXY;小守　孝英;https://galaxy.jp/partner/;03-3943-3300;〒112-0012 東京都文京区大塚5丁目3番13号;;https://galaxy.jp/contact/;経岩宗高;2023/04/13;開発;E：未接触;未契約;;協業募集;2024/04/16
株式会社無限;清水　宏太;https://www.mugen-corp.jp/partner/;03-3343-2250;東京都新宿区西新宿2-7-1　新宿第一生命ビルディング14階;;https://go2.mugen-corp.jp/corporate_contact.html;経岩宗高;2023/04/13;開発（プロダクト）;D：対応しない;未契約;中国オフショアあり;;
